Client Name:,Bushy Tails,Job Number:,DUMMY-2026-0005-01,,,,,,,,,,,,,,,,,,,,
Site Name:,Bristol,Report From:,,To:,,,,,,,,,,,,,,,,,,,
Data Files:,"2025-DESNZ-Conversion-Factors-Activity 2025, 2025-DESNZ-Conversion-Factors-Activity 2025, 2022-DEFRA-Conversion-Factors-Spend 2022",,,,,,,,,,,,,,,,,,,,,,
Scope,Category,Report Label,ID,UOM,GHG Unit,Factor, Qty , [Mth1] , [Mth2] , [Mth3] , [Mth4] , [Mth5] , [Mth6] , [Mth7] , [Mth8] , [Mth9] , [Mth10] , [Mth11] , [Mth12] , tCO2e , Apply , tCO2e ,Notes
Scope 3,Purchased Goods & Services,Grain mill and starch products,SPEND-SIC-2022-10.6,GBP,kg CO2e,0.847974327,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Bakery products            ,SPEND-SIC-2022-10.7,GBP,kg CO2e,0.56020932,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Other food products             ,SPEND-SIC-2022-10.8,GBP,kg CO2e,0.797482777,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Prepared animal feeds             ,SPEND-SIC-2022-10.9,GBP,kg CO2e,1.147400234,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Alcoholic beverages              ,SPEND-SIC-2022-11.01-6,GBP,kg CO2e,0.928638639,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Soft drinks              ,SPEND-SIC-2022-11.07,GBP,kg CO2e,0.564823542,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Tobacco products              ,SPEND-SIC-2022-12,GBP,kg CO2e,0.83346933,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Textiles               ,SPEND-SIC-2022-13,GBP,kg CO2e,0.782675396,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Wearing apparel              ,SPEND-SIC-2022-14,GBP,kg CO2e,0.667800152,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Leather and related products            ,SPEND-SIC-2022-15,GBP,kg CO2e,0.748318879,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,"Wood, straw and products, except furniture",SPEND-SIC-2022-16,GBP,kg CO2e,0.469328489,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Paper and paper products            ,SPEND-SIC-2022-17,GBP,kg CO2e,0.804997339,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Printing and recording services            ,SPEND-SIC-2022-18,GBP,kg CO2e,0.416570122,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Coke and refined petroleum products           ,SPEND-SIC-2022-19,GBP,kg CO2e,1.149521121,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,"Paints, varnishes and similar coatings, printing ink and mastics       ",SPEND-SIC-2022-20.3,GBP,kg CO2e,1.21213655,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Cleaning and polishing preparations,SPEND-SIC-2022-20.4,GBP,kg CO2e,0.833539599,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Other chemical products             ,SPEND-SIC-2022-20.5,GBP,kg CO2e,0.598943317,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Industrial gases,SPEND-SIC-2022-20A,GBP,kg CO2e,1.171462189,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Petrochemicals,SPEND-SIC-2022-20B,GBP,kg CO2e,1.226622256,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Dyestuffs abd agro-chemicals,SPEND-SIC-2022-20C,GBP,kg CO2e,1.226613543,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Basic pharmaceutical products,SPEND-SIC-2022-21,GBP,kg CO2e,0.24024196,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Rubber and plastic products            ,SPEND-SIC-2022-22,GBP,kg CO2e,0.768925711,,,,,,,,,,,,,, -   ,100%, -   ,
