Year,ID,Method,Scope,Category ,Level 2,Level 3,Level 4,Report Label,UOM,GHG/Unit,GHG Conversion Factor 2025,Valid From,Valid To,Source
2022,SPEND-PROD-2022-12-1-3,Spend,Scope 3,"Other appliances, articles and products for personal care    ",,,,"Other appliances, articles and products for personal care    ",GBP,kg CO2e,0.463321798,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-12-3-1,Spend,Scope 3,"Jewellery, clocks and watches        ",,,,"Jewellery, clocks and watches        ",GBP,kg CO2e,0.463321798,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-12-3-2,Spend,Scope 3,Other personal effects         ,,,,Other personal effects         ,GBP,kg CO2e,0.463321798,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-12-4-1-1,Spend,Scope 3,Social protection          ,,,,Social protection          ,GBP,kg CO2e,0.389791308,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-12-5,Spend,Scope 3,Insurance           ,,,,Insurance           ,GBP,kg CO2e,0.389791308,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-12-6-2,Spend,Scope 3,Other financial services n.e.c.        ,,,,Other financial services n.e.c.        ,GBP,kg CO2e,0.389791308,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-12-7-1,Spend,Scope 3,Other services n.e.c.         ,,,,Other services n.e.c.         ,GBP,kg CO2e,0.389791308,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-13,Spend,Scope 3,Non-profit instns serving households        ,,,,Non-profit instns serving households        ,GBP,kg CO2e,0.143184788,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-14,Spend,Scope 3,Central           ,,,,Central           ,GBP,kg CO2e,0.223119312,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-15,Spend,Scope 3,Local           ,,,,Local           ,GBP,kg CO2e,0.26744419,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-16,Spend,Scope 3,Gross fixed          ,,,,Gross fixed          ,GBP,kg CO2e,0.268464916,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-17,Spend,Scope 3,Valuables           ,,,,Valuables           ,GBP,kg CO2e,0.206743952,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-18,Spend,Scope 3,Changes in inventories         ,,,,Changes in inventories         ,GBP,kg CO2e,0.28540112,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
